,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,temporalité,polarité_contexte,positionnement_contexte,
1963,"a) *, Abdelkrim Bennabi (a), Johan Colin (a), Horacio Colina (b)                  (a) Universite Paris-Est, Ecole Speciale des Travaux Publics, du batiment et de /'Industrie ESTP - Institut de Recherche en Constructibilite, 28 avenue du president Wilson, 94230 Cachan, France                  (b) Association Technique de I'Industrie des Liants Hydrauliques, 7 Place de la Defense 92974 ",Paris-La-Defense," Cedex, France                  * Corresponding authors.                  ",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1964,"                On a rainy June morning in Paris, five dozen men and women gathered in a basement in ",La Défense,", the city's financial district.",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1965,"                On a rainy June morning in Paris, five dozen men and women gathered in a basement in La Défense, ",the city's financial district,.,référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1966,"for the French capital to attract international banks and other financial institutions but there is a dearth of high-quality, centrally located office space.If the big banks do decide to move to Paris, they may have to get used to the idea of being in",La Défense, or other areas outside the capital's city limits.                  ,norme,NA,NA,NA,immobilier,présent,neutre,pris en charge,
1967,"They said this came ""inthe context of the Brexit vote"".                  ",Paris's La Défense business district,,référence géographique/type lieu,localisation/économie,neutre,pris en charge,économie,présent,neutre,pris en charge,
1968,"for 2,000 people inthe central business district of a European city, they would currently find eight options in Paris, all in",La Défense," in the west central area of the city, according to Savills research.                  ",norme,NA,NA,NA,économie,présent,neutre,pris en charge,
1969,"is home to France's largest banks and the European Securities and Markets Authority.Planning regulations limit the height of most buildings in the city centre to below 31 metres, forcing high-rise developments out to",La Défense,", the financial district 10km from",norme,NA,NA,NA,urbanisme,présent,neutre,pris en charge,
1970,"is home to France's largest banks and the European Securities and Markets Authority.Planning regulations limit the height of most buildings in the city centre to below 31 metres, forcing high-rise developments out to La Défense,",the financial district,10km from,type lieu,économie,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
1971,"for the French capital to attract international banks and other financial institutions but there is a dearth of high-quality, centrally located office space.If the big banks do decide to move to Paris, they may have to get used to the idea of being in",La Défense, or other areas outside the capital's city limits. 		 ,norme,NA,NA,NA,immobilier,présent,neutre,pris en charge,
1972,"Christie's International Real Estate is marketing a six-bedroom villa next to the Vondelpark for€11.75m.                  New areas such as Zuidas, a financial district comparable with London's Canary Wharf or ",La Défense," in Paris, are also becoming more popular.  		 ",norme,NA,NA,NA,NA,NA,NA,NA,
1974,"The Abu Dhabi Investment Authority, the world'ssecond-largest sovereign wealth fund, acquired the planned Tour Alto office development in",Paris's La Défense business district," in February, a sign of continued activity in the market. 		 ",référence géographique/type lieu,localisation/économie,neutre,pris en charge,immobilier,présent,neutre,pris en charge,
1975,Why should anyof this matter when the city has,La Défense,?,norme,NA,NA,NA,NA,NA,NA,NA,
1976,of this matter when the city has La Défense?,"The area, just beyond the capital's western border",,référence géographique/type lieu,localisation/urbanisme,neutre,prise en charge,urbanisme,présent,neutre,pris en charge,
1977,for office space andit is now,Europe's largest business district,. 		 ,type lieu/classement/référence géographique,économie/taille,positif,pris en charge,urbanisme,présent,neutre,pris en charge,
1978,"As for Paris, France's Socialist government has announced incentives, including tax breaks, to attract international business to the capital.The western outskirts of Paris already boast",a Canary Wharf-like business district, known as La Défense. 		 ,type lieu/métaphore,économie,neutre,pris en charge,économie,présent,neutre,pris en charge,
1979,"As for Paris, France's Socialist government has announced incentives, including tax breaks, to attract international business to the capital.The western outskirts of Paris already boast a Canary Wharf-like business district known as",La Défense,. 		 ,norme,NA,NA,NA,économie,présent,neutre,pris en charge,
1980,the key & emerging players that are part of coverage and have being profiled are Thalese-Security,(La Defense,", France), Gemalto N.V. (Amsterdam, Netherlands), Sophos Group plc (Abingdon, UK), Symantec Corporation (California, US) & Skyhigh Networks (California, US). 		 ",norme,NA,NA,NA,NA,NA,NA,NA,
1981,Some of the players covered inthe study are Thales e-Security,(La Defense,", France), Gemalto N.V. (Amsterdam, Netherlands), Sophos Group plc (Abingdon, UK), Symantec Corporation (California, US) & Skyhigh Networks (California, US)",norme,NA,NA,NA,NA,NA,NA,NA,
1982,Thalese-Security,(La Defense,", France), Gemalto N.V. (Amsterdam, Netherlands), Sophos Group plc (Abingdon, UK), Symantec Corporation (California, US) & Skyhigh Networks (California, US) 		 Most frequently asked question: 		 ",norme,NA,NA,NA,NA,NA,NA,NA,
1983,Currently list of companies profiled in thestudy are Thales e-Security,(La Defense,", France), Gemalto N.V. (Amsterdam, Netherlands), Sophos Group plc (Abingdon, UK), Symantec Corporation (California, US) & Skyhigh Networks (California, US) 		 **",norme,NA,NA,NA,NA,NA,NA,NA,
1985,"Segolene Royal, French Minister of Ecology, Sustainable Development and Energy, at ENGIE Groupheadquarters in",Paris La Defense," for the launch of internal discussions concerning ""Climate & Energy.",référence géographique,localisation,neutre,pris en charge,événement,présent ,neutre,pris en charge,
1987,"Segolene Royal, French Minister of Ecology, Sustainable Development and Energy, at ENGIE Groupheadquarters in",Paris La Defense," for the launch of internal discussions concerning ""Climate & Energy.",référence géographique,localisation,neutre,pris en charge,événement,présent ,neutre,pris en charge,doublon 1980
1988,"18,000 square metres asset inLa Garenne-Colombes, close to",La Defense,", is fully let to Technip France SA.",norme,NA,NA,NA,NA,NA,NA,NA,
1989,", UMR-CNRS 6183, Ecole Centrale de Nantes, 1 rue de la Noe, 44321 Nantes, France                  (b) Universite de Guyane, IUT de Kourou, Avenue Bois Chaudat, BP 725, 97387 Kourou Cedex, France                  (c)Association Technique de l'Industrie des Liants Hydrauliques (ATILH), 7 place ",de la Defense,", 92974",norme,NA,NA,NA,NA,NA,NA,NA,
1990,"Association Technique de l'Industrie des Liants Hydrauliques (ATILH), 7 place de la Defense, 92974",Paris La Defense,", France 		 * Corresponding author. 		 ",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1991,"for internal market and services 		 Peter Blom, Chair of the GABV & CEO of Triodos Bank 		 Jean-Louis Bancel, Chairman of CreditCooperatif 		 Rumee Ali, Member of the Board, BRAC Bank (Bangladesh) 		 Laurence Scialom, Associate Professor ",(Paris Ouest Nanterre La Defense,")                  Frederic Tiberghien,  Chairman of Finansol",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1993,-- Paris-The combined Annual General Meeting of Shareholders of Safran (Euronext Paris: SAF) met today at the CNIT center at,Paris-la Defense,", under the chairmanship of Jean-Paul Herteman, Chairman and CEO of Safran. 		 ",référence géographique,localisation,neutre,pris en charge,économie,présent,neutre,pris en charge,
1994,"generous packages on the table, offering a€1.5m one-off payment into the EBA coffers.The city has identified an office in",La Défense,and another in central Paris as possible locations.,norme,NA,NA,NA,immobilier,présent,neutre,pris en charge,
1998,A spokesperson for Areva confirmed the raid had taken place at the company's headquarters in,the business district of La Defense, in Paris. 		 ,type lieu,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1999,There had been successful Japanese national pavilions but the first permanent (and very visible) signs of this fascination on the skyline came during a wave of construction in,the La Défense business district,"in the late 1980s, notably Kisho Kurokawa's Pacific Tower with its Zen-ish rooftop garden (1992) and Kenzo Tange's curious Grand Ecran complex (1991).",type lieu,économie,neutre,pris en charge,urbanisme,passé,positif,pris en charge,
2000,at the FT conference near Tower Bridge.Then back to Paris to see Paul McCartney's gig in,La Défense,.,norme,NA,NA,NA,événement,présent,neutre,pris en charge,
2002,It has been 20 years since Société Générale gave up the quaint trappings of historic Paris for the gleaming practicality of its towers in,La Défense,", Paris's modern business district. 		 ",norme,NA,NA,NA,immobilier,présent,positif,pris en charge,
2003,"It has been 20 years since Société Générale gave up the quaint trappings of historic Paris for the gleaming practicality of its towers inup the quaint trappings of historic Parisfor the gleaming practicality of its towers in La Défense,",Paris's modern business district,. 		 ,type lieu/référence géographique,localisation/économie/architecture,positif,pris en charge,immobilier,présent,positif,pris en charge,
2004,The EBA will have to swap its Canary Wharf headquarters overlooking the towers of HSBC and Barclays for the office blocks of,La Défense,", its new post-Brexit home, from April.",norme,NA,NA,NA,immobilier,présent,neutre,pris en charge,
2005,"The EBA will have to swap its Canary Wharf headquarters overlooking the towers of HSBC and Barclays for the office blocks of La Défense,",its new post-Brexit home,", from April.",métaphore ,changement/localisation,neutre,pris en charge,immobilier,présent,neutre,pris en charge,
2007,The fact Sika's share price had outperformed Saint-Gobain's by a distance since the French company made its move didn't help matters.                  That's why Sarah Gordon and David Keohane sat down for a long lunch with Saint-Gobain chief Pierre-André de Chalendar at the top of the company's headquarters in ,Paris' business district of La Défense,. 		 ,référence géographique/type lieu ,économie/localisation,neutre,pris en charge,événement,présent,neutre,pris en charge ,
2009,"Last week Sephora reopened its second-largest store in France, in",the Paris business district of La Défense,", after a major renovation.",référence géographique/type lieu ,économie/localisation,neutre,pris en charge,économie,présent,neutre,pris en charge,
2011,"European Banking Authority, which will have to move when the UK leaves the EU in March.The EBA and its 160 employees are to relocate in the Europlaza tower in",La Défense,", the high-rise business district on the western outskirts of Paris.                ",norme,NA,NA,NA,immobilier,présent,neutre,pris en charge,
2012,"European Banking Authority, which will have to move when the UK leaves the EU in March.The EBA and its 160 employees are to relocate in the Europlaza tower in La Défense,",the high-rise business district on the western outskirts of Paris,.		,référence géographique/type lieu ,économie/localisation,neutre,pris en charge ,immobilier,présent,neutre,pris en charge ,
2013,"""We were able to increase the number of school places in Paris by 1,000 to close to 11,500,"" said Charline Avenel, who administers four major school districts around Paris, including Versailles.                   ""The planning began two years ago, after the referendum,"" said Ms Avenel, pointing to a new school with an international section opening at Courbevoie near ",the business district of La Défense, that has guaranteed school places to the European Banking Authority's staff as it moves from London to Paris. 		 ,type lieu,économie,neutre,pris en charge,administration politique,présent,neutre,pris en charge,
2014,"Eleven metro lines will be closed on Thursday, and the rest will be severely disrupted, except the driverless trains on lines 1 and 14, between",La Défense," and Château de Vincennes, and Saint-Lazare and Olympiades, respectively.  		 ",norme,NA,NA,NA,NA,NA,NA,NA,
2017,"                GIC, Singapore's sovereign wealth fund, has agreed to pay about€465m for a 40-storey office tower in Paris.                  GIC, one of the largest institutional investors in the world, said in a statement on Tuesday it had agreed to buy the Tour Ariane, located in ",the business district of La Défense,", from Unibail-Rodamco-Westfield.		",type lieu,économie,neutre,pris en charge,immobilier,présent,neutre,pris en charge ,
2019,"Edouard Philippe, the French prime minister, is due to officially open the EBA's headquarters in",the Paris business district of La Défense,this week in a ceremony that will reinforce the French government's desire to see Paris benefit from the impact of Brexit on the financial services sector.,référence géographique/type lieu ,localisation/économie ,neutre,pris en charge,événement,présent,neutre,pris en charge,
2020,"The driverless trains have been runningas normal on lines 1 and 14, between",La Défense,"and Château de Vincennes, and Saint-Lazare and Olympiades, respectively.",norme,NA,NA,NA,NA,NA,NA,NA,
2021,Thalese-Security,(La Defense,", France), Gemalto N.V. (Amsterdam, Netherlands), Sophos Group plc (Abingdon, UK), Symantec Corporation (California, US) & Skyhigh Networks (California, US) etc.",norme,NA,NA,NA,NA,NA,NA,NA,
2022,Company profilesection of players such as Thales e-Security (,La Defense,", France), Gemalto N.V. (Amsterdam, Netherlands), Sophos Group plc (Abingdon, UK), Symantec Corporation (California, US) & Skyhigh Networks (California, US) includes its basic information like legal name, website, headquarters, its market position, historical background and top 5 closest competitors by Market capitalization / revenue along with contact information.",norme,NA,NA,NA,NA,NA,NA,NA,
2023,- Police officers shot dead a man who threatened them with a knife in,the Paris business district of La Defense," on Friday, police sources said. 		 ",référence géographique/type lieu ,localisation/économie,neutre,cité ,événement,présent,neutre,pris en charge,
2025,DEEP IN THE ground beneath,the western Paris business district,", the din is bone-jangling.",référence géographique/type lieu ,localisation/économie,neutre,pris en charge,urbanisme,présent,négatif,pris en charge,
2026,"ambitious scheme to encircle Paris with a new metro loop, and shift the way people think and move about the capital. 		 The new station at ",La Défense,", built as part of the westward extension of the E line, will link up to a huge looping network known as the ""Grand Paris Express"".",norme,NA,NA,NA,urbanisme,présent ,positif,pris en charge ,
2027,"One loop will run from Charles de Gaulle airport in the north, via the banlieue of Seine-Saint-Denis, westward to the skyscrapers of",La Défense,", and on in a ring around southern and eastern Paris, outside the capital's périphérique ring road.",norme,NA,NA,NA,urbanisme,présent,neutre,pris en charge,
2028,Quest Nanterre,la Defense,", Laboratoire Energetique Mecanique Electromagnetisme (LEME)",norme,NA,NA,NA,NA,NA,NA,NA,
2030,"He also left behind a highly visible legacy, having presided over Frangois Mitterrand's Travaux (great works)--all in Paris--of the Bibliotheque nationale, the new Louvre pyramid, the Institut du Monde Arabe, Opera Bastille, the Grande Arche at",La Defense," and, at La Villette, the City of Science and Music. 		 ",norme,NA,NA,NA,NA,NA,NA,NA,
2031,"The key market players such as Cubic Corporation, San Diego, California;Thales Groups,",La Defense,", France; Samsung SDS, Seoul, South Korea; and ST Electronics, Singapore; among others, adopted the strategies of partnerships, collaborations, agreements, and business expansions, M&amp;A, and new product launches to expand their client base and enter new market space with improved solution capabilities.",norme,NA,NA,NA,NA,NA,NA,NA,
2032,- Police officers shot deada man who threatened them with a knife in,the Paris business district of La Defense," on Friday, police sources said. 		 ",référence géographique/type lieu ,localisation/économie,neutre,cité ,événement,présent,neutre,pris en charge,doublon 2023
2034,Abaaoud and another man were believed to be preparing a suicide bomb attack on,the La Defense business district,in the west of Paris on Nov. 18 or 19. ,type lieu,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
2036,"the world of energy is changing, we're moving towards a less centralised, less carbon-intensive energy world, away from the centralised world of yesterday,"" Mestrallet said at a press conference at the group's skyscraper in ",the La Defense financial district, of Paris. 		 ,type lieu ,économie,neutre,pris en charge ,événement,présent,neutre,cité,
2037,"At least two die, eight arrested in pre-dawn raid 		 * Group was planning to attack ",business district, -sources 		 *,type lieu ,économie,neutre,pris en charge,événement,présent,neutre,cité,
2038,A woman suicide bomber blew herself up in a police raid on Wednesday that sources said had foiled a jihadi plan to hit,Paris's business district,", days after a wave of attacks killed 129 across the French capital. 		 ",type lieu/référence géographique,économie/localisation,neutre,pris en charge,événement,présent,négatif,pris en charge,
2039,"Reuters that the St. Denis cell was planning a fresh attack.""This new team was planning an attack on ",La Defense,","" one source said, referring to a high-rise neighbourhood on the outskirts of Paris that is home to top banks and businesses.                  ",norme,NA,NA,NA,événement,présent,négatif,cité,
2041,"An official from the moderate CFDT union, which has not called for a strike, said the CGT had failed to mobilise in refineries but planned to block a Total service station at",the La Defense business district of Paris, this morning. 		 ,type lieu/référence géographique,économie,neutre,cité,événement,présent,neutre,cité,
2042,Reuters the St. Denis cell hadbeen planning a fresh attack on,Paris's La Defense business district,.,référence géographique/type lieu,localisation,neutre,pris en charge,événement,passé,négatif,pris en charge,
2043,had been planning to attack,the capital's La Defense business district,", as first reported by Reuters on Nov.",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2044,had been plotting an attack on,the capital's business district,.,type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2045,Reuters exclusively reported the plotto attack,the district of La Defense,on Nov.,type lieu,urbanisme,neutre,pris en charge,événement,passé,négatif,pris en charge,
2046,"At least two die, eight arrested in pre-dawn raid 		 * Group was planning to attack ",business district, -sources 		 *,type lieu ,économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2047,sources saidhad foiled a jihadi plan to hit,Paris's business district,", days after a wave of attacks killed 129 across the French capital. 		 ",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2048,"Reuters that the St. Denis cell was planning a fresh attack.""This new team was planning an attack on ",La Defense,","" one source said, referring to a high-rise neighbourhood on the outskirts of Paris that is home to top banks and businesses. 		 ",norme,NA,NA,NA,NA,NA,NA,NA,
2049,"Reuters that the St. Denis cell was planning a fresh attack.""This new team was planning an attack on La Defense,"" one source said, referring to ",a high-rise neighbourhood on the outskirts of Paris that is home to top banks and businesses,. 		 ,type lieu/référence géographique/métaphore,localisation/économie,positif,pris en charge,NA,NA,NA,NA,
2050,Reuters the St. Denis cell hadbeen planning a new attack on,Paris's La Defense business district,.,type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2051,had been plotting an attack on,the capital's business district,.,type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2052,Reuters exclusively reported the plotto attack,the district of La Defense,on Nov.,type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2053,"Montparnasse building in southern Paris opened in 1973.Since then, most skyscrapers have been concentrated in",the La Defense business district in the western outskirts,. 		 ,type lieu/référence géographique,localisation/économie,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
2054,say the St. Denis cell hadbeen planning a new attack on,Paris's La Defense business district,. 		 ,type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2055,Abaaoud andanother man were believed to be preparing a suicide bomb attack on,the La Defense business district,in the west of Paris on Nov.,type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2056,Abaaoud andanother man were believed to be preparing a suicide bomb attack on,the La Defense business district,in the west of Paris on Nov.,type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2057,"At least two die, eight arrested in pre-dawn raid 		 * Group was planning to attack ",business district, -sources 		 *,type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2058,sources saidhad foiled a jihadi plan to hit,Paris's business district,", days after a wave of attacks killed 129 across the French capital. 		 ",type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2059,"Reuters the St. Denis cell was planning a fresh attack.""This new team was planning an attack on ",La Defense,","" one source said, referring to a high-rise neighbourhood on the outskirts of Paris that is home to top banks and businesses. 		 ",norme,NA,NA,NA,NA,NA,NA,NA,
2060,"Reuters the St. Denis cell was planning a fresh attack.""This new team was planning an attack on La Defense,"" one source said, referring to ",a high-rise neighbourhood on the outskirts of Paris that is home to top banks and businesses,. 		 ,type lieu/référence géographique/métaphore,localisation/économie,positif,pris en charge,NA,NA,NA,NA,
2061,had been planning an attack on,the French capital's La Defense business capital,. 		 ,type lieu/référence géographique,localisation/économie,positif,pris en charge,NA,NA,NA,NA,
2062,"A.-L. Beaucour (a), *, S. Ortola (b), A. Noumowe (a) 		 (a) Universityof Cergy-Pontoise, Laboratoire de Mecanique & Materiaux du Genie Civil, EA 4114, F-95000 Cergy-Pontoise, France 		 (b) Universite Paris Ouest Nanterre ",la Defense,", Laboratoire Energetique Mecanique Electromagnetisme (LEME)",norme,NA,NA,NA,NA,NA,NA,NA,
2063,"Siemens AG (Munich, Germany) 		 11.Thales Group ",(La Defense,", France) 		 12.",norme,NA,NA,NA,NA,NA,NA,NA,
2064,"Huawei (Shenzhen, China) 		 9.Thales Group ",(La Defense,", France) 		 10.",norme,NA,NA,NA,NA,NA,NA,NA,
2065,--,La Defense,", France, with subsidiaries in the USA, Brazil, Germany, Italy, Spain, Poland, and Japan. 		  ",norme,NA,NA,NA,NA,NA,NA,NA,
2066,"		Jun 22, 2017 (M2 PRESSWIRE via COMTEX)-- DUBLIN, Ireland and ",PARIS LA DEFENSE,", France -- EchoStar",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
2067,Try the Frogs!Choose,Paris La Defense,""", referring to the Parisian business district. 		 ",référence géographique,localisation,neutre,pris en charge,tourisme,présent,neutre,cité,
2068,"Choose ParisLa Defense"", referring to ",the Parisian business district,. 		 ,type lieu/référence géographique,localisation/économie,neutre,pris en charge,tourisme,présent,neutre,pris en charge,
2069,"13 attacks were claimed by Islamic State, the group that controls swathes of Syria and Iraq and whose positions are being bombed by French jets.                  The woman said she learned from Abaaoud himself and further conversations with his cousin of his plans to imminently launch new attacks on a creche, police station and shopping mall in ",the La Defense business district on the western edge of Paris,.,type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,neutre,cité,
2070,126 per square foot in the second half of 2015. 		 Skyscraper rents in ,Paris' La Defense financial district," were flat over the same period, while in Frankfurt, rents actually dropped 1.16 percent. 		 ",type lieu/référence géographique,localisation/économie,neutre,pris en charge,immobilier,présent,positif,pris en charge,
2071,", who feel under-appreciated and overtaxed by the centre-left government at home. 		 ""Let's be honest, we are in the challenger position,"" Societe Generale CEO Frederic Oudea said at the event at ",La Defense,", once a beacon of French financial might. 		 ",norme,NA,NA,NA,économie,passé,positif,pris en charge,
2072,", who feel under-appreciated and overtaxed by the centre-left government at home. 		 ""Let's be honest, we are in the challenger position,"" Societe Generale CEO Frederic Oudea said at the event at La Defense, ",once a beacon of French financial might,. 		 ,métaphore/référence géographique,localisation/économie,positif,pris en charge,NA,NA,NA,NA,
2073,thatthe company was looking at job cuts at its headquarters in Levallois and,La Defense,", but not at Belfort, the heart of Alstom's former energy unit. 		 ",norme,NA,NA,NA,NA,NA,NA,NA,
2074,"and at home, French military power is stretched thin                  A TRIO of soldiers in full combat gear advances in triangular formation, heads swivelling from left to right.On this bright spring afternoon, the unit has been deployed to patrol ",La Défense,.,norme,NA,NA,NA,événement,présent,neutre,pris en charge,
2075,But this is not a military site.It is,a shopping-mall and office-tower district,"to the west of Paris, named after",type lieu,architecture/disparité/économie,neutre,pris en charge,administration,présent,négatif,pris en charge,
2076,"At the helm is Ross McInnes, an Oxford-educated Franco-Australian and chairman of Safran, the French engine maker.This is all another excuse to recall the ad campaign launched by",Paris's La Défense business district,:,type lieu/référence géographique,localisation/économie,neutre,pris en charge,tourisme,présent,négatif,pris en charge,
2077,"TENNIS 		 French Open 		 Murray, Riner hold news conference in Paris 		 ",LA DEFENSE,",",norme,NA,NA,NA,NA,NA,NA,NA,
2078,"TENNIS 		 French Open 		 Murray, Riner hold news conference in Paris 		 ",LA DEFENSE,",",norme,NA,NA,NA,NA,NA,NA,NA,
2079,the entrance to the environment ministry near,La Defense business district,. 		 ,type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2080,Man threateningpolice officers at,Paris business district," ""neutralised""",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,neutre,attribué,
2081,man whothreatened police officers with a knife in,the Paris business district of La Defense," on Friday has been ""neutralised"", police said. 		 ",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,neutre,cité,
2082,-- 1 place Samuel de Champlain -- Faubourgde l'Arche - 92930,Paris La Defense, cedex -- France 		 Tel: + 33(0)1 44 22 00 00 		 ENGIE SA WITH CAPITAL,référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
2083,"in a brand new building currently under construction, for a 9 years and quarter lease and associated costs totaling over euros 300 million over the period. 		 Located in Nanterre in ",the new district of la Defense,", this Campus will be one of its two operational headquarters, the other one being based in Houston.		",type lieu,changement,positif,pris en charge,urbanisme,futur,neutre,pris en charge,
2084,C)2019 ENPublishing- http://www.enpublishing.co.uk 		 Release date- 03122019 - ,Paris La Defense,"- Nexans, the global expert in advanced cabling and connectivity solutions, Eversource, New England's premier transmission builder, and Orsted, the world leader",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
2085,"By 1200 GMT on Saturday, turnout was 6,300 demonstrators nationwide, according to government estimates, compared with 5,600 at the same time a week earlier.                  In Paris, two rallies had been authorised, including one from Place de la Republique in the east to ",La Defense business district,in the west.,type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2087,Some 40 young protesters attempted to blockthe doorway of a large shopping center in,La Defense business district," in Paris on Friday morning by locking arms, though passers by were still able to get through. 		 ",type lieu ,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
2088,-ENVIRONMENT/ (PIX) Paris to expand,district,cooling network as global warming boosts,,,,,,,,,
2089,"He declinedto comment on potential bidders, but insiders say these could include Dalkia, the energy services unit of French utility EDF, and energy infrastructure group Idex, which is owned by investment fund Antin and operates the heating and cooling grid of",Paris business district La Defense,. 		 ,type lieu/référence géographique,localisation/économie,neutre,pris en charge,immobilier,présent,neutre,pris en charge,
2090,14 side Racing92 secured a bonus-point win in the Pool 4 clash at,La Defense Arena, on Sunday. 		 ,,,,,,,,,
2092,top-to-bottom of the 185-metre (607 feet) glass-fronted building in,La Defense business district,		Robert halted regularly to chalk his hands. 		 ,type lieu ,économie,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
2093,Player Detail 		 Thales e-Security ,(La Defense,", France) 		 Gemalto N.V. (Amsterdam, Netherlands) 		 ",norme,NA,NA,NA,NA,NA,NA,NA,
2094,- Tour Carpe Diem - 31 Place des Corolles - 92098,Paris La Defense,Cedex - France,référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
2096,"- Alain Robert, sometimes known as the ""French Spiderman"" for climbing skyscrapers world worldwide, is still defying gravity at the age of 55. 		 He scaled the summit of the fourth-tallest building in ",Paris' modern business district,on,type lieu/référence géographique,localisation/changement/économie,positif,pris en charge,événement,présent,neutre,pris en charge,
2097,"himself up past the tower's 48 floors, cheered on by officeworkers-turned-spectators in",La Defense,. 		 ,norme,NA,NA,NA,événement,présent,neutre,pris en charge,
2099,and expertise.The future Saint-Gobain Tower in,La Defense,", Paris,",norme,NA,NA,NA,urbanisme,futur,neutre,pris en charge,
2100,the entrance to the environment ministry near,La Defense business district,.		,type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2102,Another 500 employees will be moved to HSBC's hub in,La Defense business district,"which now houses 4,000 of the bank'",type lieu ,économie,neutre,pris en charge,immobilier,futur,neutre,pris en charge,
2103,the agreement for a1.3 billion dollar syndicated loan in a signing ceremony held,in Paris at La Defense,.,référence géographique,localisation,neutre,pris en charge,événement,présent,positif,pris en charge,
2106,"The company, through its subsidiary Bouygues B'timent Ile-de-France, signed a contract with Abu Dhabi Investment Authority (ADIA)in March 2018 to build Alto Tower at",La Defense,"in Paris, valued at USD 221.3 million.",norme,NA,NA,NA,immobilier,futur,neutre,pris en charge,
2107,the site of the new headquarters tower Vinciis building for France's Saint Gobain in,Paris' La Defense business district,. 		 ,type lieu/référence géographique,localisation/économie,neutre,pris en charge,immobilier,futur,neutre,pris en charge,
2109,TSH enteredthe French market in 2015 with a pilot site in,Paris La Defense,.,référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
2112,"- http://www.enpublishing.co.uk 		 Release date- 29112019 - At the InnovDays 2019 event on 27, 28 and 29November 2019 at the Grande Arche in ",the La Defense district of Paris,", Thales will present a vast array of new technologies and solutions underpinning its ability to build a future we can all trust in the areas of aerospace, transport, defence and digital security.		",,,,,événement,futur,positif,pris en charge,
2113,C)2019 ENPublishing- http://www.enpublishing.co.uk 		 Release date- 09092019 - LF Energy and RTE announce the LF Energy Global Summit at ,La Defense,", Paris on",norme,NA,NA,NA,événement,futur,positif,pris en charge,
2114,"		Towering support Climber Alain Robert, popularly known as the ""French Spiderman"", scales the Total tower in the west of ",Paris's business district of La Defense, yesterday to support striking workers on the 40th day of action against government pension reform.		,type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
2115,"""The Big Eight"", as Parisians call it, will loop across the French capital andsew together the banlieues, including neglected areas such as Saint-Denis and Clichy-sous-Bois in the north and east, to business districts such as ",La Défense,in the west.,norme,NA,NA,NA,NA,NA,NA,NA,
2116,"""At this moment, which might be the turning point for Europe, I want to be able to seize the opportunity,"" he said in an interview at one of SocGen's trio of mirrored towers in ",La Défense,.		,norme,NA,NA,NA,économie,futur,positif,cité,
2117,"Try the frogs!"" ",Paris's business district,,type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2118,"The advert, which features a large frog wearing a French tricolore tie sitting in frontof",La Défense,"s skyscrapers, is the latest in measures aimed at capitalising on the uncertainty created by the Brexit",norme,NA,NA,NA,tourisme,présent,neutre,pris en charge,
